A11581,3,0,"Matrimony hath alwayes ben estemed honourable, also amonge the heathen.","Matrimony hath always been esteemed honourable, also among the heathen."
A11581,8,0,The yoge and rawe people despyse matrimony.,The yoge and raw people despise matrimony.
A11581,15,0,"Some despyse matrimony, because of great holynes","Some despise matrimony, because of great holiness"
A11581,17,0,i. Ti. iiij,i. Ti. iiij
A11581,24,0,Exod. x,Exod. x
A11581,25,0,i. Reg. xvij.,i. Reg. xvij.
A11581,28,0,Vpon the.xij Chapit. of Daniel wryteth lyra of Antichriste.,Upon the xij Chapit. of Daniel writes lyram of Antichriste.
A11581,31,0,Vvherfore it is necessary to wryte of Matrymony.,Wherefore it is necessary to write of Matrimony.
A11581,41,0,The true meanyng of the sentece. Heb. xiij,The true meaning of the sentece. Heb. xiij
A11581,62,0,The papistes ca not reioyse of their state before God,The papists ca not rejoice of their state before God
A11581,66,0,The prayer of the maryed vnto God.,The prayer of the married unto God.
A11581,72,0,Gene. i.,Gene. i.
A11581,75,0,God hath specially blessed matrimony.,God hath specially blessed matrimony.
A11581,79,0,Psalm. Cxxviij,Psalm. Cxxviij
A11581,83,0,Vvherfore there is many tymes in wedloc littel prosperite and helth.,Wherefore there is many times in wedloc little prosperity and health.
A11581,88,0,The greatest sainetes that euer lyued (fewe excepte) were waryed,The greatest sainetes that ever lived (few except) were waried
A11581,93,0,The pope a father of al hipocrisye.,The pope a father of all hypocrisy.
A11581,94,0,"He that wil be a Christian, and can not lyue chaste, oughte to marye.","He that will be a Christian, and can not live chaste, ought to mary."
A11581,99,0,To lyue withoute wedlocke escapeth not without synne.,To live without wedlock escapeth not without sin.
A11581,99,1,mat. xix i. cor. vij,mat. xix i. cor. vij
A11581,108,0,Vvedlocke is ful of good workes,Wedlock is full of good works
A11581,111,0,Colo. iij Ephe. v,Colo. iij Ephe. v
A11581,113,0,mat. xix,mat. xix
A11581,114,0,The matrimonyal loue is a goddes seruyce.,The matrimonial love is a gods service.
A11581,116,0,The loue of the parentes towardes theyr children is also a Gods seruyce.,The love of the parents towards their children is also a Gods service.
A11581,124,0,The seruice of the maried one to another are good workes,The service of the married one to another are good works
A11581,132,0,The state of matrimony geueth discreteper sones to all estates.,The state of matrimony giveth discreteper sons to all estates.
A11581,138,0,In wedlocke is much labour ad trauayl.,In wedlock is much labour and travail.
A11581,148,0,"wedlocke is the scoolehous of the christians,","wedlock is the scoolehous of the christians,"
A11581,150,0,wedlock causeth to praye and to trust in God.,wedlock causeth to pray and to trust in God.
A11581,155,0,Matrimony is full of good workes,Matrimony is full of good works
A11581,156,0,Christ honoureth the mariage hymselfe. Ioha. iij,Christ honoureth the marriage himself. Ioha. iij
A11581,158,0,Psalm. Cxxviij,Psalm. Cxxviij
A11581,162,0,Vvhat the vndefyled bedde is,What the undefiled bed is
A11581,166,0,Other defylynges of the bedde of matrimony,Other defylynges of the bed of matrimony
A11581,169,0,i. Pet. iij.,i. Pet. iij.
A11581,170,0,Exhortatio to the women.,Exhortatio to the women.
A11581,173,0,Two principall poyntes of the maried.,Two principal points of the married.
A11581,178,0,The maryed couple shulde not make their state bitter themselues,The married couple should not make their state bitter themselves
A11581,180,0,The cogregation shoulde pray for the newe maryed couples,The cogregation should pray for the new married couples
A11581,183,0,The aduouterers ad hoorekepers god shal iudge them,The aduouterers and hoorekepers god shall judge them
A11581,186,0,i. Cor vi,i. Cor vi
A11581,202,0,Vvherfore god dyd institute wedlocke.,Wherefore god did institute wedlock.
A11581,204,0,God so to be thanked for matrimony,God so to be thanked for matrimony
A11581,206,0,i. Cor. vi,i. Cor. vi
A11581,208,0,"the wicked enemye layeth wayte, for ma and wyfe.","the wicked enemy layeth wait, for ma and wife."
A11581,213,0,They that lyne in wedlocke must praye God that thei maye lyue in vnitie.,They that line in wedlock must pray God that they may live in unity.
A11581,222,0,i. Pet. iij,i. Pet. iij
A11581,222,1,Vvhat the man ought to do.,What the man ought to do.
A11581,227,0,Howe men shoulde geue honour vnto wome,How men should give honour unto wome
A11581,236,0,Discorde and malice hyndereth prayer.,Discord and malice hyndereth prayer.
A11581,250,0,i. Pe. iij. Howe the wyues ought to vse themselues,i. Pe. iij. Howe the wives ought to use themselves
A11581,263,0,The wiues must be to subiection to theyr husbandes.,The wives must be to subjection to their husbands.
A11581,263,1,Ephe. v,Ephe. v
A11581,267,0,Ephe. v,Ephe. v
A11581,268,0,i. Pet. iii,i. Pet. iii
A11581,269,0,Gene. xviij.,Gene. xviij.
A11581,270,0,The paynes and trauayl of the women.,The pains and travail of the women.
A11581,274,0,The attyremet of the fayrest women.,The attyremet of the fairest women.
A11581,277,0,Psalm. C.xxviij,Psalm. C.xxviij
A11581,286,0,Man and wyfe maye praye in aduersitye.,Man and wife may pray in adversity.
A11581,287,0,Mathe xviij.,Mathe xviij.
A11925,47,0,i. Pet. iii.,i. Pet. iii.
A11925,49,0,Ios. i.,Ios. i.
A11925,55,0,Math. ii.,Math. ii.
A11925,57,0,Deut. v.,Deut. v.
A11925,57,1,"Rom, i.","Rom, i."
A11925,58,0,Esa. i. 42,Esa. i. 42
